ET,SA,SR,IA,FZ,V,P,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
0,-0.211410609,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-24.32875109,2610.579088,-49.06757336,0,-9.978368078,775.2806634,0.187526432,0,0
0,-0.205717733,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,30.63376287,2614.67514,-48.37095922,0,14.5883637,78.56130414,0.18829379,0,0
0,-0.201010041,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-26.11377609,2615.207132,-49.47650619,0,-11.77686754,1264.528848,0.187862159,0,0
0,-0.195435076,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-55.74835926,2615.866112,-49.85565157,0,-25.71903615,932.0474225,0.188158117,0,0
0,-0.19005067,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-26.08161203,2620.496084,-49.2735965,0,-15.19918446,449.0035145,0.188713356,0,0
0,-0.184004133,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-29.55951131,2640.590276,-49.85368896,0,-19.24904247,975.4006961,0.189869903,0,0
0,-0.179874862,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-46.03720141,2615.75246,-49.41415249,0,-25.52784569,-85.26695261,0.18861586,0,0
0,-0.173741336,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-35.99873449,2626.468172,-49.35684863,0,-23.83987335,-435.9208895,0.189607371,0,0
0,-0.168097353,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-22.75770813,2637.444538,-49.05342157,0,-20.24336318,77.24517375,0.190378479,0,0
0,-0.16444507,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-36.75311908,2617.571069,-49.61586005,0,-27.1228583,422.3952784,0.189752953,0,0
0,-0.1575876,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-40.33988404,2613.755839,-49.35098697,0,-30.66322521,413.6707901,0.190370403,0,0
0,-0.151912101,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-27.49764643,2570.817515,-48.72243819,0,-26.36917001,604.6390589,0.188264397,0,0
0,-0.147900538,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-33.2231963,2610.65352,-48.77584446,0,-32.2881255,487.0377951,0.191934867,0,0
0,-0.141808253,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-40.3002555,2560.726778,-48.59615566,0,-37.11258023,930.3727582,0.189926497,0,0
0,-0.136718781,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-29.36867593,2491.268914,-48.30474259,0,-33.48887033,455.5903038,0.186427716,0,0
0,-0.131254793,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-36.54534352,2504.148873,-48.07670289,0,-39.46698054,657.7879637,0.189294324,0,0
0,-0.124746637,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-35.29827667,2466.662045,-47.41337504,0,-42.01009333,946.6068444,0.189358068,0,0
0,-0.119586699,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-27.7706704,2413.811154,-46.68529398,0,-41.62088684,617.653685,0.188398871,0,0
0,-0.115540289,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-34.73100363,2382.768314,-46.4851646,0,-44.59654791,1106.512528,0.188350807,0,0
0,-0.108965594,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-33.34745386,2329.525912,-45.64144963,0,-47.68474704,1331.202929,0.188696175,0,0
0,-0.102917335,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-29.7914679,2317.998686,-45.03839787,0,-49.49270692,752.3655772,0.191633353,0,0
0,-0.099520123,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-32.31940186,2198.540679,-44.10242476,0,-49.9145662,1277.25578,0.186287867,0,0
0,-0.093317354,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-30.15478888,2174.633335,-43.29793815,0,-52.47529247,794.8556477,0.188931881,0,0
0,-0.086977141,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-27.66968171,2193.312147,-42.1182186,0,-55.20795502,1698.296979,0.194443125,0,0
0,-0.083030698,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-34.74292829,1975.109532,-41.18956339,0,-55.32631776,577.8813731,0.184317536,0,0
0,-0.077290036,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-31.59095385,1994.12692,-40.09183942,0,-56.81586193,793.0862813,0.190447833,0,0
0,-0.071244494,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-29.38357748,1986.101487,-38.46838335,0,-58.38323152,809.0932958,0.195899046,0,0
0,-0.065731771,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-33.8147252,1814.631378,-36.64133187,0,-57.13749083,746.9000156,0.191334015,0,0
0,-0.060297641,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-37.25809219,1652.241726,-34.54981331,0,-55.02334495,1963.951543,0.187113218,0,0
0,-0.055762851,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-31.53742189,1683.222271,-33.60919904,0,-56.46131452,1268.236308,0.195714909,0,0
0,-0.050025964,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-36.92209981,1497.676372,-31.06043734,0,-53.60067859,919.4989356,0.191659651,0,0
0,-0.044030978,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-39.78280148,1346.377139,-28.16562465,0,-49.13645637,908.8332406,0.190879449,0,0
0,-0.039882269,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-35.2326618,1264.20051,-26.65102279,0,-48.09770271,883.7607985,0.193157935,0,0
0,-0.034196137,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-45.95484167,1110.054686,-24.16536088,0,-46.56149197,500.8449331,0.192454093,0,0
0,-0.027855348,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-39.68610741,947.6899134,-20.2695929,0,-37.79481044,1776.67854,0.19400791,0,0
0,-0.022862381,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-42.3933063,762.8484177,-18.10711003,0,-31.84724835,1438.678762,0.192957202,0,0
0,-0.017988763,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-55.81366069,588.0613321,-15.53354328,0,-28.3514614,1325.715422,0.189546245,0,0
0,-0.012080486,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-51.95531098,426.9027518,-11.303045,0,-20.20902175,1602.191036,0.192772454,0,0
0,-0.006734627,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-51.83802551,211.2511325,-8.251326461,0,-11.03927725,1528.840672,0.190174243,0,0
0,-0.001601455,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-60.81886609,31.17499513,-5.226683833,0,-3.186532278,2010.807345,0.189867461,0,0
0,0.004031161,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-49.81394764,-155.1157725,-1.876979378,0,7.295027301,1276.645246,0.190006238,0,0
0,0.009352574,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-46.91166361,-329.2677729,1.335136097,0,12.68939111,1083.732236,0.190761238,0,0
0,0.014914649,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-50.51753016,-501.4487546,3.219426483,0,19.98089983,1146.625953,0.188313221,0,0
0,0.02022567,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-41.27979515,-667.9084543,5.553326507,0,27.96500608,1834.311973,0.187832894,0,0
0,0.025174824,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-35.3544503,-824.1776661,8.978565767,0,32.7118891,1157.503658,0.190314814,0,0
0,0.031187985,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-37.19320364,-973.6088348,11.43031387,0,35.65001099,1938.116781,0.188731276,0,0
0,0.036774138,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-28.05253396,-1127.961866,12.63892398,0,41.42900535,1598.115303,0.18909265,0,0
0,0.041018205,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-31.3912225,-1240.391739,15.62714869,0,43.09049626,1693.98056,0.190612128,0,0
0,0.046966901,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-23.69394489,-1388.659234,17.77022223,0,47.68106612,1423.224367,0.191041792,0,0
0,0.052708866,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-21.10996196,-1567.442689,19.6638494,0,46.55325759,1359.716713,0.19531973,0,0
0,0.057859132,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-28.19000042,-1590.397834,21.8678675,0,49.46479979,1284.933996,0.188888641,0,0
0,0.063337969,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-21.54011962,-1702.858097,23.23527039,0,52.14924403,962.2972611,0.189689987,0,0
0,0.068513366,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-10.53717892,-1872.458908,23.76877632,0,51.56903988,1829.482857,0.194321194,0,0
0,0.074327968,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-20.00772288,-1912.709044,26.55123101,0,51.23197691,1600.980869,0.190525083,0,0
0,0.080333348,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-24.64772607,-1904.376359,29.32438925,0,51.12911267,1254.405469,0.18460948,0,0
0,0.084380791,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-10.73789005,-2123.420206,28.22241119,0,49.51981103,1255.648974,0.194259458,0,0
0,0.090451801,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-15.35193109,-2107.877447,30.34187115,0,49.31648825,1056.392027,0.188473477,0,0
0,0.09681987,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-19.30450812,-2153.811974,32.42948321,0,46.88399635,1147.30178,0.1870794,0,0
0,0.100155094,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-13.21465647,-2263.74954,31.4521739,0,45.67656782,2063.455648,0.190921635,0,0
0,0.106328633,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-15.68362195,-2280.33849,33.2801222,0,44.06673957,1060.226175,0.188181044,0,0
0,0.112974657,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-17.90598542,-2323.375414,34.83235901,0,42.07320039,1202.749456,0.187057252,0,0
0,0.116503718,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-15.311442,-2414.859283,34.27251097,0,41.05780816,1241.03494,0.189617962,0,0
0,0.122249669,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-18.29390877,-2427.431276,35.51972453,0,38.23333925,1447.352118,0.188136549,0,0
0,0.128837748,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-16.2992286,-2450.292468,36.79839594,0,37.37954342,1547.833064,0.186984503,0,0
0,0.133344664,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-16.71669412,-2533.96094,35.94853891,0,36.02564312,1239.29077,0.189066772,0,0
0,0.138330896,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-17.06933566,-2533.076331,37.19202232,0,33.82817481,1034.66296,0.187665077,0,0
0,0.144847934,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-18.54377849,-2542.942764,38.00563918,0,31.30881839,1096.708632,0.18708462,0,0
0,0.150018341,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-16.95965171,-2562.016845,37.36548461,0,30.42241248,1328.980134,0.186437457,0,0
0,0.155020129,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-14.53960232,-2624.191426,38.17838572,0,28.37383936,1011.49655,0.188762996,0,0
0,0.159938348,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-22.359841,-2571.686641,38.43288763,0,25.00478088,1203.222477,0.186277152,0,0
0,0.165713351,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-13.40594709,-2595.747803,38.16753134,0,25.89698408,1789.082761,0.186582842,0,0
0,0.172030675,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-15.45018724,-2644.186378,39.00888803,0,21.40852285,1340.790982,0.188490009,0,0
0,0.17575258,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-23.30139908,-2588.697989,37.96463226,0,19.92915544,1771.798807,0.185144491,0,0
0,0.181835188,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-10.24606548,-2612.08174,38.63420532,0,21.87654032,1067.106524,0.186580356,0,0
0,0.188345002,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-20.06915639,-2614.404169,39.44147061,0,14.54916539,1191.549065,0.187527603,0,0
0,0.192118394,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-20.49658192,-2595.828598,38.31122603,0,14.94631673,1961.778125,0.185309382,0,0
0,0.198258557,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-9.93855119,-2601.839918,38.55982769,0,17.38260254,1259.789548,0.185785634,0,0
0,0.203812813,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-25.03762602,-2598.943012,38.33491017,0,9.066346201,1089.044589,0.186157437,0,0
0,0.20878316,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-32.86887931,-2575.897041,38.56661877,0,4.847545718,1531.76571,0.183411784,0,0
0,0.213106816,0,0.000130371,-1105.844974,11.1642248,83095.69595,0,0,-30.85062992,-2588.561981,39.87120583,0,3.977041883,839.6896985,0.186716931,0,0
0,-0.211349661,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-13.97380132,2120.594572,-33.56316249,0,-2.89795705,945.0847218,0.191973679,0,0
0,-0.204674106,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,9.644941002,2123.568458,-33.57325231,0,8.603133644,-712.0437626,0.191664096,0,0
0,-0.200298996,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-17.323543,2125.576885,-33.22479024,0,-7.174383987,980.4474589,0.192425016,0,0
0,-0.195479839,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-42.64920067,2121.839959,-33.58873727,0,-18.0522227,590.2156397,0.191671317,0,0
0,-0.189556083,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-17.39285619,2138.065153,-33.54624347,0,-7.303747615,465.8052133,0.193182116,0,0
0,-0.183235301,0,0.0001093,-883.500313,11.16376681,83125.09631,0,0,-21.65647686,2141.385211,-33.3769798,0,-12.83782536,1136.707077,0.193657742,0,0
