Time,FLrpm,FRrpm,RLrpm,RRrpm,Steer,RollR,PitchR,YawR,Ay,Ax,Az
0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,-0.060854785,0.039869949,-0.182994783,-0.017320836,-0.033472423,-0.089354046
0.04,0,0,0,0,0,-0.008588528,0.017696016,-0.144722685,0.018369541,-0.020183507,-0.089348853
0.05,0,0,0,0,0,0.009641035,-0.085059352,-0.067024142,0.03557422,0.002422436,-0.045831315
0.06,0,0,0,0,0,0.01378403,-0.010497994,-0.068717778,0.007155448,0.013190208,-0.082833216
0.07,0,0,0,0,0,-0.068461746,-0.031689443,-0.096737705,-0.004253464,0.009922839,-0.105868369
0.08,0,0,0,0,0,-0.018884182,-0.124487713,-0.08873646,-0.00034374,0.016291417,-0.089669757
0.09,0,0,0,0,0,-0.016055809,0.049731176,-0.084169447,-0.012751827,0.003668693,-0.003118936
0.1,0,0,0,0,0,0.088162206,-0.06484431,-0.074107677,0.014587041,0.007593489,-0.082139984
0.11,0,0,0,0,0,0.040371265,-0.066740006,-0.070162363,-0.019142177,-0.01197882,-0.032519437
0.12,0,0,0,0,0,0.008115303,0.073479064,-0.120084159,-0.010665967,-0.007469832,-0.025175327
0.13,0,0,0,0,0,0.012289817,-0.015710393,-0.129352018,0.002777233,-0.008577531,-0.068228841
0.14,0,0,0,0,0,0.013585634,0.024081992,-0.092009477,0.00820659,-0.006174773,-0.070972525
0.15,0,0,0,0,0,-0.032063071,0.027784642,-0.125565365,-0.012013707,-0.002106804,-0.092196278
0.16,0,0,0,0,0,0.00038971,-0.04382576,-0.109117426,-0.013599343,0.006123208,-0.059971746
0.17,0,0,0,0,0,0.03227032,-0.053454343,-0.164647535,-0.001818321,0.022217179,-0.07355424
0.18,0,0,0,0,0,0.01108125,0.102008134,-0.047819968,0.007064645,0.019052869,-0.052344628
0.19,0,0,0,0,0,-0.038259815,-0.107530996,-0.049849324,-0.00609456,0.000622655,-0.150827646
0.2,0,0,0,0,0,0.002566326,-0.005930982,-0.117771059,0.026179675,0.002587172,-0.026229335
0.21,0,0,0,0,0,-0.051042493,0.020154292,-0.111609347,0.01451816,-0.019905237,-0.017379785
0.22,0,0,0,0,0,0.000639937,0.006022883,-0.107473634,-0.001529996,-0.030036807,-0.029245751
0.23,0,0,0,0,0,-0.044132169,0.020011701,-0.114578515,0.005421213,-0.017852932,-0.086275525
0.24,0,0,0,0,0,-0.010955897,0.02699144,-0.105014689,-0.009456184,-0.036907766,-0.106189005
0.25,0,0,0,0,0,-0.015663845,-0.075242534,-0.107429124,0.016178442,-0.02907528,-0.070772208
0.26,0,0,0,0,0,-0.005572391,0.014928157,-0.089954078,-0.003543381,0.019695703,-0.101607651
0.27,0,0,0,0,0,0.003104843,-0.143006429,-0.104910739,-0.009746446,-0.00828879,-0.093029782
0.28,0,0,0,0,0,0.000280419,0.067921966,-0.106522299,0.01562988,-0.00024335,-0.108516946
0.29,0,0,0,0,0,0.002819702,0.058361784,-0.131201536,0.015453988,-0.015457396,-0.04063892
0.3,0,0,0,0,0,0.033385783,-0.067851961,-0.077911727,0.000165319,-0.034313764,-0.049753223
0.31,0,0,0,0,0,0.025676886,-0.020492503,-0.070849918,0.014180352,0.005753305,-0.044195052
0.32,0,0,0,0,0,-0.018892227,0.127475739,-0.107425496,0.000858058,0.032709524,-0.04377339
0.33,0,0,0,0,0,0.004419378,-0.054718275,-0.054220807,-0.031218614,-0.015534699,-0.006767401
0.34,0,0,0,0,0,-0.073591866,-0.105086476,-0.10555768,-0.01004777,0.011998133,-0.032568015
0.35,0,0,0,0,0,0.043806877,0.054245729,-0.093233883,-0.018040223,0.02820663,-0.007744533
0.36,0,0,0,0,0,-0.07479164,-0.103807509,-0.109424785,0.000123554,0.017689919,-0.040175039
0.37,0,0,0,0,0,0.008012081,0.025163909,-0.127256542,0.004406191,0.025735587,-0.063886523
0.38,0,0,0,0,0,0.023144159,-0.041626647,-0.139809087,0.008399133,0.019248992,-0.078194156
0.39,0,0,0,0,0,-0.04118786,-0.051415455,-0.026972376,-0.006415783,-0.010263153,-0.039670408
0.4,0,0,0,0,0,0.003015137,0.038308177,-0.108295478,-0.000426793,0.011978609,-0.115668789
0.41,0,0,0,0,0,0.038261775,-0.00449709,-0.115442649,-0.016356733,-0.005001833,-0.04828893
0.42,0,0,0,0,0,-0.014707495,-0.007023806,-0.088015981,0.020532921,-0.023959868,-0.060965043
0.43,0,0,0,0,0,0.048800606,-0.026490206,-0.115684494,-0.031733643,-0.026976932,-0.031449828
0.44,0,0,0,0,0,0.00053186,-0.001169943,-0.138679832,0.012439089,-0.001643458,-0.072429121
0.45,0,0,0,0,0,0.09683767,0.138511002,-0.072434425,-0.008348476,0.011836729,-0.013304855
0.46,0,0,0,0,0,0.013951803,-0.004049974,-0.060326967,-0.000570526,0.000196031,-0.037396286
0.47,0,0,0,0,0,0.080868423,-0.038694389,-0.072892718,-0.001748968,0.003539894,-0.067222133
0.48,0,0,0,0,0,-0.001578811,0.04293716,-0.08286278,0.003084175,0.002425818,-0.099442758
0.49,0,0,0,0,0,-0.076614603,0.081360005,-0.069565743,-0.016798504,0.023395803,-0.079470649
0.5,0,0,0,0,0,0.000190072,-0.07980486,-0.140993491,0.004099741,0.018350163,-0.061721243
0.51,0,0,0,0,0,0.044811517,0.013768448,-0.164737299,-0.025987508,0.017332299,-0.061817627
0.52,0,0,0,0,0,0.015151409,0.084455252,-0.082103297,-0.033764038,-0.010604216,-0.035497278
0.53,0,0,0,0,0,-0.060681444,-0.136345163,-0.057804972,-0.02199126,0.003011229,-0.134212777
