Time,FLrpm,FRrpm,RLrpm,RRrpm,FL,FR,RL,RR,Ay,Ax,Az,RollR,PitchR,YawR,Steer
0,0,0,0,0,1943,2117,2494,1820,-0.01,-0.090000004,-0.029999999,-0.01,0,0,0
0.01,0,0,0,0,1943,2117,2494,1820,-0.01,-0.090000004,-0.029999999,-0.01,0,0,-5
0.02,0,0,0,0,1943,2117,2494,1820,-0.090000004,0.079999998,-0.079999998,0,0,0,-5
0.03,0,0,0,0,1943,2117,2494,1820,0,0.079999998,0.150000006,0,0,0,-5
0.04,0,0,0,0,1943,2117,2494,1820,0,-0.02,0.100000002,-0.01,0,0,-5
0.05,0,0,0,0,1943,2117,2494,1820,-0.119999997,-0.02,-0.150000006,0,0,0,-5
0.06,0,0,0,0,1943,2117,2494,1820,0.02,0.119999997,0.100000002,0,0,0,-5
0.07,0,0,0,0,1943,2118,2494,1820,0.090000004,-0.050000001,0.330000013,0,0,0,-5
0.08,0,0,0,0,1943,2117,2494,1820,-0.07,-0.050000001,-0.280000001,0,0,0,-5
0.09,0,0,0,0,1943,2117,2494,1820,-0.029999999,0.039999999,-0.059999999,0.01,0,0,-5
0.1,0,0,0,0,1943,2117,2494,1820,0.159999996,-0.059999999,0.119999997,0,0,0,-5
0.11,0,0,0,0,1943,2117,2494,1820,0.050000001,-0.100000002,0,0,0,0,-5
0.12,0,0,0,0,1943,2117,2494,1820,0.01,0.01,-0.270000011,0.01,0,0,-5
0.13,0,0,0,0,1943,2117,2494,1820,0.039999999,0.07,0.029999999,0,0,0,-5
0.14,0,0,0,0,1943,2117,2494,1820,0.029999999,-0.150000006,-0.109999999,-0.01,0,0,-5
0.15,0,0,0,0,1943,2117,2494,1820,-0.119999997,-0.059999999,-0.360000014,0,0,0,-5
0.16,0,0,0,0,1943,2117,2494,1820,0.039999999,0.039999999,0.150000006,0,0,0,-5
0.17,0,0,0,0,1943,2117,2494,1820,0.119999997,-0.039999999,0.109999999,0,0,0,-5
0.18,0,0,0,0,1943,2117,2494,1820,-0.150000006,0,-0.189999998,0,0,0,-5
0.19,0,0,0,0,1943,2117,2494,1820,-0.039999999,0.039999999,-0.159999996,0,0,0,-5
0.2,0,0,0,0,1943,2117,2494,1820,0.029999999,0.029999999,0.330000013,-0.01,0,0,-5
0.21,0,0,0,0,1943,2117,2494,1820,0.039999999,-0.090000004,-0.129999995,0,0,0,-5
0.22,0,0,0,0,1943,2117,2494,1820,-0.059999999,0.159999996,-0.100000002,0.01,0,0,-5
0.23,0,0,0,0,1943,2117,2494,1820,0.07,0.050000001,0.079999998,0,0,0,-5
0.24,0,0,0,0,1943,2117,2494,1820,-0.029999999,-0.039999999,0.02,0,0,0,-5
0.25,0,0,0,0,1943,2117,2494,1820,-0.07,-0.029999999,-0.280000001,0,0,0,-5
0.26,0,0,0,0,1942,2117,2494,1820,0.050000001,0.079999998,0.289999992,0,0,0,-5
0.27,0,0,0,0,1943,2117,2494,1821,0.059999999,-0.02,0.140000001,0,0,0,-5
0.28,0,0,0,0,1943,2118,2494,1821,-0.059999999,-0.01,-0.219999999,0,0,0,-5
0.29,0,0,0,0,1943,2117,2494,1821,0,0.090000004,-0.039999999,0.01,0,0,-5
0.3,0,0,0,0,1943,2117,2494,1821,0.07,-0.039999999,0.25,-0.01,0,0,-5
0.31,0,0,0,0,1943,2117,2494,1820,-0.02,-0.029999999,0.01,0,0,0,-5
0.32,0,0,0,0,1943,2117,2494,1820,-0.01,0.050000001,0.02,0.01,0,0,-5
0.33,0,0,0,0,1943,2117,2494,1820,0.02,0.109999999,0.370000005,0,0,0,-5
0.34,0,0,0,0,1943,2117,2494,1820,-0.02,-0.129999995,-0.02,0,0,0,-5
0.35,0,0,0,0,1943,2117,2494,1820,-0.119999997,0.039999999,-0.090000004,0,0,0,-5
0.36,0,0,0,0,1943,2117,2494,1820,0.090000004,0.039999999,0.230000004,0,0,0,-5
0.37,0,0,0,0,1943,2118,2494,1821,0.029999999,0.01,0.230000004,-0.01,0,0,-5
0.38,0,0,0,0,1943,2117,2494,1820,-0.090000004,0.059999999,-0.129999995,0,0,0,-5
0.39,0,0,0,0,1943,2117,2494,1820,-0.01,0.129999995,-0.01,0.01,0,0,-5
0.4,0,0,0,0,1943,2117,2494,1820,0.050000001,0.01,0.25,-0.01,0,0,-5
0.41,0,0,0,0,1943,2117,2494,1820,-0.01,-0.129999995,-0.119999997,0,0,0,-5
0.42,0,0,0,0,1943,2118,2494,1820,-0.059999999,0.170000002,0.079999998,0.01,0,0,-5
0.43,0,0,0,0,1943,2117,2494,1820,0.090000004,0,0.219999999,0,0,0,-5
0.44,0,0,0,0,1943,2117,2494,1820,-0.100000002,-0.079999998,-0.029999999,0,0,0,-5
0.45,0,0,0,0,1943,2117,2494,1820,-0.119999997,-0.02,-0.170000002,0,0,0,-5
0.46,0,0,0,0,1943,2117,2494,1820,0.07,0.029999999,0.230000004,0,0,0,-5
0.47,0,0,0,0,1943,2118,2494,1820,0.029999999,-0.090000004,0.230000004,-0.01,0,0,-5
0.48,0,0,0,0,1943,2117,2494,1820,-0.090000004,-0.02,-0.340000004,0,0,0,-5
0.49,0,0,0,0,1943,2117,2494,1820,-0.039999999,0.100000002,0.090000004,0.01,0,0,-5
0.5,0,0,0,0,1943,2117,2494,1820,0.100000002,-0.119999997,0.039999999,-0.01,0,0,-5
0.51,0,0,0,0,1943,2117,2494,1820,-0.059999999,-0.039999999,-0.050000001,0,0,0,-5
0.52,0,0,0,0,1943,2117,2494,1820,0.050000001,0.01,-0.079999998,0.01,0,0,-5
0.53,0,0,0,0,1943,2117,2494,1820,0.079999998,0.079999998,0.349999994,0,0,0,-5
0.54,0,0,0,0,1943,2117,2494,1820,0.050000001,-0.129999995,-0.209999993,0,0,0,-5
0.55,0,0,0,0,1943,2117,2494,1820,-0.07,0.02,-0.140000001,0,0,0,-5
0.56,0,0,0,0,1943,2117,2494,1820,0.150000006,-0.01,0.150000006,0,0,0,-5
0.57,0,0,0,0,1943,2117,2494,1820,0.039999999,-0.029999999,0.189999998,-0.01,0,0,-5
0.58,0,0,0,0,1943,2117,2494,1820,-0.039999999,0,-0.300000012,0,0,0,-5
0.59,0,0,0,0,1943,2117,2494,1820,-0.02,0.100000002,0.01,0,0,0,-5
0.6,0,0,0,0,1943,2117,2494,1820,0.059999999,-0.059999999,0.039999999,0,0,0,-5
0.61,0,0,0,0,1943,2117,2494,1820,-0.059999999,-0.090000004,-0.200000003,0,0,0,-5
0.62,0,0,0,0,1943,2117,2494,1820,-0.039999999,0.129999995,-0.02,0.01,0,0,-5
0.63,0,0,0,0,1943,2117,2494,1820,0.140000001,-0.01,0.180000007,0,0,0,-5
0.64,0,0,0,0,1943,2117,2494,1820,-0.109999999,0,-0.170000002,0,0,0,-5
0.65,0,0,0,0,1943,2117,2494,1820,0.01,-0.050000001,-0.319999993,0,0,0,-5
0.66,0,0,0,0,1943,2117,2494,1820,0.079999998,0.02,0.230000004,0,0,0,-5
0.67,0,0,0,0,1943,2117,2494,1820,0.090000004,-0.140000001,0.039999999,-0.01,0.01,0,-5
0.68,0,0,0,0,1943,2117,2494,1820,-0.07,0.02,-0.189999998,0,0,0,-5
0.69,0,0,0,0,1943,2117,2494,1820,0.050000001,0.029999999,-0.059999999,0,0,0,-5
0.7,0,0,0,0,1943,2117,2494,1820,0.039999999,-0.059999999,0.140000001,-0.01,0,0,-5
0.71,0,0,0,0,1943,2117,2494,1820,-0.059999999,-0.119999997,-0.259999991,0,0,0,-5
0.72,0,0,0,0,1943,2117,2494,1820,-0.029999999,0.079999998,0.129999995,0,0,0,-5
0.73,0,0,0,0,1943,2117,2494,1820,0.050000001,0.029999999,0.25,0,0,0,-5
