Time,FLrpm,FRrpm,RLrpm,RRrpm,FL,FR,RL,RR,Ay,Ax,Az,RollR,PitchR,YawR
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0.07,0.039999999,0.090000004,0.01,0,0
0.04,0,0,0,0,2079,2106,1886,1934,-0.129999995,-0.02,0.079999998,0,0,0
0.05,0,0,0,0,2078,2109,1886,1937,-0.100000002,-0.02,-0.02,0,0,0
0.06,0,0,0,0,2078,2125,1886,1949,0.129999995,0.02,-0.079999998,0.01,0,0
0.07,0,0,0,0,2079,2125,1886,1939,-0.150000006,-0.029999999,0.039999999,0,0,0
0.08,0,0,0,0,2079,2110,1887,1944,-0.129999995,0.01,-0.02,0,0,0
0.09,0,0,0,0,2078,2111,1886,1939,0.100000002,0.039999999,-0.119999997,0,0,0
0.1,0,0,0,0,2079,2110,1886,1932,-0.150000006,0.039999999,-0.029999999,0,0,0
0.11,0,0,0,0,2079,2111,1886,1940,-0.150000006,0.039999999,-0.029999999,0,0,0
0.12,0,0,0,0,2079,2110,1886,1940,-0.090000004,-0.01,-0.119999997,0.01,0,0
0.13,0,0,0,0,2078,2110,1886,1950,0.039999999,0.050000001,-0.109999999,0.01,0,0
0.14,0,0,0,0,2079,2102,1886,1933,-0.140000001,0.01,0.01,0,0,0
0.15,0,0,0,0,2078,2102,1886,1953,-0.029999999,-0.029999999,-0.090000004,-0.01,0,0
0.16,0,0,0,0,2078,2113,1886,1953,0.100000002,0.029999999,0.01,0,0,0
0.17,0,0,0,0,2078,2126,1886,1938,-0.119999997,-0.029999999,0.01,-0.01,0,0
0.18,0,0,0,0,2078,2124,1886,1939,0.119999997,0.029999999,0.02,0.01,0,0
0.19,0,0,0,0,2078,2123,1886,1945,0.059999999,0,0.129999995,-0.01,0,0
0.2,0,0,0,0,2079,2110,1886,1940,-0.02,0.02,-0.150000006,0,0,0
0.21,0,0,0,0,2078,2108,1886,1939,0.100000002,0.090000004,0.140000001,0.01,0,0
0.22,0,0,0,0,2078,2108,1886,1935,0.100000002,0.090000004,0.140000001,0.01,0,0
0.23,0,0,0,0,2079,2113,1886,1932,-0.039999999,-0.02,-0.180000007,0,0,0
0.24,0,0,0,0,2079,2113,1886,1939,-0.039999999,-0.02,-0.180000007,0,0,0
0.25,0,0,0,0,2079,2108,1886,1950,-0.079999998,-0.050000001,-0.059999999,0,0,0
0.26,0,0,0,0,2078,2104,1886,1934,0.090000004,0,0.07,0.01,0,0
0.27,0,0,0,0,2078,2112,1886,1935,0.059999999,-0.01,0.239999995,0,0,0
0.28,0,0,0,0,2078,2120,1886,1954,-0.07,-0.02,-0.209999993,0,0,0
0.29,0,0,0,0,2078,2106,1886,1954,0.07,0,-0.259999991,0,0,0
0.3,0,0,0,0,2078,2125,1886,1939,0.059999999,0.050000001,0.039999999,0,0,0
0.31,0,0,0,0,2078,2107,1886,1939,0.059999999,0.050000001,0.039999999,0,0,0
0.32,0,0,0,0,2078,2109,1887,1945,0.01,0.02,0.180000007,0,0,0
0.33,0,0,0,0,2078,2110,1887,1937,-0.029999999,-0.02,0.200000003,0,0,0
0.34,0,0,0,0,2078,2117,1886,1938,-0.109999999,-0.029999999,-0.050000001,0,0,0
0.35,0,0,0,0,2078,2116,1886,1931,0.07,0.02,-0.25,0.01,0,0
