Time,FLrpm,FRrpm,RLrpm,RRrpm,FL,FR,RL,RR,Ax,Ay,Az,RollR,PitchR,YawR,PitchPos,RollPos
0,0,0,0,0,465,2226,0,0,0,0,0,0,0,0,179.6699982,-0.930000007
0.01,0,0,0,0,465,2226,1888,1916,0.039999999,-0.079999998,0.270000011,0,0,0,179.6699982,-0.930000007
0.02,0,0,0,0,465,2235,1888,1916,0.039999999,-0.079999998,0.270000011,0,0,0,179.6699982,-0.930000007
0.03,0,0,0,0,465,2238,1888,1927,-0.059999999,0.07,0.200000003,0,0,0,179.6699982,-0.930000007
0.04,0,0,0,0,465,2222,1888,1922,-0.039999999,0.039999999,-0.310000002,0,0,0,179.6699982,-0.930000007
0.05,0,0,0,0,465,2223,1887,1913,0.039999999,-0.109999999,-0.230000004,0,0,0,179.6699982,-0.930000007
0.06,0,0,0,0,465,2234,1888,1921,0.01,-0.079999998,0.289999992,0,0,0,179.6699982,-0.930000007
0.07,0,0,0,0,466,2223,1888,1912,-0.07,0.07,0.189999998,0,0,0,179.6699982,-0.930000007
0.08,0,0,0,0,466,2237,1887,1919,-0.01,0.07,-0.280000001,0,0,0,179.6699982,-0.930000007
0.09,0,0,0,0,466,2237,1887,1917,0.050000001,-0.100000002,-0.150000006,0,0,0,179.6699982,-0.930000007
0.1,0,0,0,0,466,2229,1888,1918,0.039999999,-0.050000001,0.349999994,0,0,0,179.6699982,-0.930000007
0.11,0,0,0,0,466,2238,1888,1924,-0.029999999,0.079999998,0.209999993,0,0,0,179.6699982,-0.930000007
0.12,0,0,0,0,466,2238,1888,1919,0.01,0.079999998,-0.300000012,0,0,0,179.6699982,-0.930000007
0.13,0,0,0,0,466,2238,1888,1923,0.090000004,-0.079999998,-0.180000007,0,0,0,179.6699982,-0.930000007
0.14,0,0,0,0,466,2226,1888,1917,0.029999999,-0.079999998,0.300000012,0,0,0,179.6699982,-0.930000007
0.15,0,0,0,0,466,2227,1887,1917,-0.050000001,0.029999999,0.219999999,0,0,0,179.6699982,-0.930000007
0.16,0,0,0,0,466,2233,1888,1917,-0.029999999,0.029999999,-0.360000014,0,0,0,179.6699982,-0.930000007
0.17,0,0,0,0,466,2225,1887,1913,0.039999999,-0.119999997,-0.170000002,0,0,0,179.6699982,-0.930000007
0.18,0,0,0,0,466,2237,1888,1915,0.02,-0.07,0.330000013,0,0,0,179.6699982,-0.930000007
0.19,0,0,0,0,466,2237,1888,1916,-0.059999999,0.079999998,0.219999999,0,0,0,179.6699982,-0.930000007
0.2,0,0,0,0,466,2238,1888,1919,-0.01,0.050000001,-0.300000012,0,0,0,179.6699982,-0.930000007
0.21,0,0,0,0,467,2238,1888,1919,0.07,-0.079999998,-0.100000002,0,0,0,179.6699982,-0.930000007
0.22,0,0,0,0,467,2232,1888,1920,0.059999999,-0.039999999,0.370000005,0,0,0,179.6699982,-0.930000007
0.23,0,0,0,0,467,2237,1888,1918,-0.02,0.100000002,0.189999998,0,0,0,179.6699982,-0.930000007
0.24,0,0,0,0,467,2227,1888,1909,0,0.039999999,-0.349999994,0,0,0,179.6699982,-0.930000007
0.25,0,0,0,0,467,2227,1888,1913,0.059999999,-0.090000004,-0.159999996,0,0,0,179.6699982,-0.930000007
0.26,0,0,0,0,467,2230,1888,1906,0.059999999,-0.079999998,0.319999993,0,0,0,179.6699982,-0.930000007
0.27,0,0,0,0,467,2227,1888,1913,-0.059999999,0.090000004,0.200000003,0,0,0,179.6699982,-0.930000007
0.28,0,0,0,0,467,2233,1888,1908,-0.029999999,0.029999999,-0.370000005,0,0,0,179.6699982,-0.930000007
0.29,0,0,0,0,467,2233,1888,1920,0.050000001,-0.100000002,-0.129999995,0,0,0,179.6699982,-0.930000007
0.3,0,0,0,0,467,2232,1888,1920,-0.02,-0.07,0.319999993,0,0,0,179.6699982,-0.930000007
0.31,0,0,0,0,467,2233,1888,1913,-0.07,0.090000004,0.150000006,0,0,0,179.6699982,-0.930000007
0.32,0,0,0,0,467,2233,1888,1918,-0.029999999,0.050000001,-0.409999996,0,0,0,179.6699982,-0.930000007
0.33,0,0,0,0,467,2232,1888,1911,0.039999999,-0.129999995,-0.150000006,0,0,0,179.6699982,-0.930000007
0.34,0,0,0,0,467,2226,1888,1911,0.01,-0.07,0.319999993,0,0,0,179.6699982,-0.930000007
0.35,0,0,0,0,467,2226,1888,1914,-0.02,0.109999999,0.170000002,0,0,0,179.6699982,-0.930000007
0.36,0,0,0,0,467,2226,1888,1909,0,0.039999999,-0.330000013,0,0,0,179.6699982,-0.930000007
0.37,0,0,0,0,467,2227,1888,1909,0.100000002,-0.090000004,-0.100000002,0,0,0,179.6699982,-0.930000007
0.38,0,0,0,0,467,2229,1888,1908,0.07,-0.119999997,0.360000014,0,0,0,179.6699982,-0.930000007
0.39,0,0,0,0,467,2229,1888,1923,0,0.059999999,0.170000002,0,0,0,179.6699982,-0.930000007
0.4,0,0,0,0,468,2231,1888,1920,0.01,0.01,-0.319999993,0,0,0,179.6699982,-0.930000007
0.41,0,0,0,0,468,2227,1888,1912,0.07,-0.140000001,-0.090000004,0,0,0,179.6699982,-0.930000007
0.42,0,0,0,0,468,2232,1888,1924,0,-0.059999999,0.379999995,0,0,0,179.6699982,-0.930000007
0.43,0,0,0,0,468,2220,1888,1913,-0.090000004,0.129999995,0.119999997,0,0,0,179.6699982,-0.930000007
0.44,0,0,0,0,468,2226,1888,1921,-0.039999999,0.100000002,-0.349999994,0,0,0,179.6699982,-0.930000007
0.45,0,0,0,0,468,2222,1888,1920,0,-0.059999999,-0.129999995,0,0,0,179.6699982,-0.930000007
0.46,0,0,0,0,468,2223,1888,1908,-0.01,0,0.259999991,0,0,0,179.6699982,-0.930000007
0.47,0,0,0,0,468,2223,1888,1908,-0.100000002,0.129999995,0.090000004,0,0,0,179.6699982,-0.930000007
0.48,0,0,0,0,468,2226,1888,1909,-0.02,0.02,-0.340000004,0,0,0,179.6699982,-0.930000007
0.49,0,0,0,0,468,2226,1888,1925,0.07,-0.129999995,-0.100000002,0,0,0,179.6699982,-0.930000007
0.5,0,0,0,0,468,2226,1888,1926,0.039999999,-0.039999999,0.389999986,0,0,0,179.6699982,-0.930000007
0.51,0,0,0,0,468,2226,1888,1926,-0.029999999,0.050000001,0.109999999,0,0,0,179.6699982,-0.930000007
0.52,0,0,0,0,468,2234,1888,1927,0,0,-0.300000012,0,0,0,179.6699982,-0.930000007
0.53,0,0,0,0,468,2234,1888,1917,0.079999998,-0.180000007,-0.059999999,0,0,0,179.6699982,-0.930000007
0.54,0,0,0,0,468,2234,1887,1921,0.029999999,-0.090000004,0.349999994,0,0,0,179.6699982,-0.930000007
0.55,0,0,0,0,468,2234,1888,1920,-0.039999999,0.059999999,0.079999998,0,0,0,179.6699982,-0.930000007
0.56,0,0,0,0,468,2233,1887,1910,0.039999999,0.01,-0.340000004,0,0,0,179.6699982,-0.930000007
0.57,0,0,0,0,468,2232,1888,1910,0.059999999,-0.109999999,-0.059999999,0,0,0,179.6699982,-0.930000007
0.58,0,0,0,0,468,2232,1888,1910,0.01,-0.039999999,0.379999995,0,0,0,179.6699982,-0.930000007
0.59,0,0,0,0,469,2237,1888,1925,-0.029999999,0.150000006,0.109999999,0,0,0,179.6699982,-0.930000007
0.6,0,0,0,0,469,2227,1888,1926,-0.02,0.090000004,-0.360000014,0,0,0,179.6699982,-0.930000007
0.61,0,0,0,0,469,2229,1887,1918,0.059999999,-0.059999999,-0.039999999,0,0,0,179.6699982,-0.930000007
0.62,0,0,0,0,469,2229,1888,1925,0.029999999,-0.07,0.370000005,0,0,0,179.6699982,-0.930000007
0.63,0,0,0,0,469,2240,1888,1918,-0.029999999,0.079999998,0.07,0,0,0,179.6699982,-0.930000007
0.64,0,0,0,0,469,2233,1887,1917,0.029999999,-0.02,-0.360000014,0,0,0,179.6699982,-0.930000007
0.65,0,0,0,0,469,2233,1887,1917,0.050000001,-0.150000006,-0.07,0,0,0,179.6699982,-0.930000007
0.66,0,0,0,0,469,2232,1887,1912,0.039999999,-0.090000004,0.330000013,0,0,0,179.6699982,-0.930000007
0.67,0,0,0,0,469,2232,1888,1915,-0.039999999,0.119999997,0.059999999,0,0,0,179.6699982,-0.930000007
0.68,0,0,0,0,469,2232,1888,1914,0,0.02,-0.400000006,0,0,0,179.6699982,-0.930000007
0.69,0,0,0,0,469,2230,1888,1918,0.039999999,-0.050000001,-0.050000001,0,0,0,179.6699982,-0.930000007
0.7,0,0,0,0,469,2231,1888,1920,0,0,0.389999986,0,0,0,179.6699982,-0.930000007
0.71,0,0,0,0,469,2231,1888,1918,-0.050000001,0.159999996,0.079999998,0,0,0,179.6699982,-0.930000007
0.72,0,0,0,0,469,2232,1888,1919,0,0.059999999,-0.360000014,0,0,0,179.6699982,-0.930000007
0.73,0,0,0,0,469,2236,1888,1919,0.050000001,-0.090000004,-0.029999999,0,0,0,179.6699982,-0.930000007
0.74,0,0,0,0,469,2231,1887,1909,0,-0.050000001,0.409999996,0,0,0,179.6699982,-0.930000007
0.75,0,0,0,0,469,2225,1888,1912,-0.059999999,0.090000004,0.039999999,0,0,0,179.6699982,-0.930000007
0.76,0,0,0,0,469,2230,1887,1912,-0.01,0,-0.400000006,0,0,0,179.6699982,-0.930000007
0.77,0,0,0,0,469,2229,1888,1912,0.039999999,-0.129999995,-0.059999999,0,0,0,179.6699982,-0.930000007
0.78,0,0,0,0,469,2229,1888,1913,-0.01,-0.07,0.400000006,0,0,0,179.6699982,-0.930000007
0.79,0,0,0,0,470,2232,1888,1914,-0.059999999,0.090000004,0.050000001,0,0,0,179.6699982,-0.930000007
0.8,0,0,0,0,470,2232,1888,1920,-0.01,0.01,-0.389999986,0,0,0,179.6699982,-0.930000007
0.81,0,0,0,0,470,2232,1888,1919,0.07,-0.109999999,0,0,0,0,179.6699982,-0.930000007
0.82,0,0,0,0,470,2232,1888,1910,0.02,-0.059999999,0.419999987,0,0,0,179.6699982,-0.930000007
0.83,0,0,0,0,470,2232,1888,1910,-0.029999999,0.079999998,0.02,0,0,0,179.6699982,-0.930000007
0.84,0,0,0,0,470,2224,1888,1907,0.02,-0.01,-0.370000005,0,0,0,179.6699982,-0.930000007
0.85,0,0,0,0,470,2227,1888,1916,0.02,-0.01,-0.370000005,0,0,0,179.6699982,-0.930000007
0.86,0,0,0,0,470,2222,1888,1919,0.01,-0.050000001,0.430000007,0,0,0,179.6699982,-0.930000007
